paramID,g,R1ratio,R2ratio,T1,T2,S_01_1,S_01_2,S_00_1,S_00_2,S_11_1,S_11_2,alpha1,theta1,kappa1,mu1,alpha2,theta2,kappa2,mu2
0,0.0184,0,0,0,0,0.087737,0.087737,8.02442602e-05,8.02442602e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
1,0.0184,0,0,0,0,0.087737,0.087737,0.0007674355389999,0.0007674355389999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
2,0.0184,0,0,0,0,0.087737,0.087737,0.0073392000499999,0.0073392000499999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
3,0.0184,0,0,0,0,0.087737,0.087737,0.0701896,0.0701896,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
4,0.0184,0,0,0,0,0.087737,0.023812,8.02442602e-05,2.17784552e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
5,0.0184,0,0,0,0,0.087737,0.023812,0.0007674355389999,0.000208283564,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
6,0.0184,0,0,0,0,0.087737,0.023812,0.0073392000499999,0.0019918738,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
7,0.0184,0,0,0,0,0.087737,0.023812,0.0701896,0.0190496,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
8,0.0184,0,0,0,0,0.8428,0.016856,0.0073719716,0.0001474394319999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
9,0.0184,0,0,0,0,0.8428,0.016856,0.07050022,0.0014100044,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
10,0.0184,0,0,0,0,0.8428,0.016856,0.6742400000000001,0.0134848,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
11,0.0184,0,0,0,0,0.8428,0.062115,0.0073719716,0.000543319905,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
12,0.0184,0,0,0,0,0.8428,0.062115,0.07050022,0.00519591975,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
13,0.0184,0,0,0,0,0.8428,0.062115,0.6742400000000001,0.049692,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
14,0.0184,0,0,0,0,0.8428,0.22874,0.00077082488,0.000209205604,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
15,0.0184,0,0,0,0,0.8428,0.22874,0.0073719716,0.00200078878,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
16,0.0184,0,0,0,0,0.8428,0.22874,0.07050022,0.019134101,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
17,0.0184,0,0,0,0,0.8428,0.22874,0.6742400000000001,0.182992,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
18,0.0184,0,0,0,0,0.8428,0.016856,0.00077082488,1.54164976e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
19,0.0184,0,0,0,0,0.8428,0.062115,0.00077082488,5.6810379e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
20,0.0184,0,0,0,0,0.8428,0.8428,0.00077082488,0.00077082488,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
